id,description,pattern
942140,SQL Injection Attack: Common DB Names Detected,(?i:\b(?:m(?:s(?:ysaccessobjects|ysaces|ysobjects|ysqueries|ysrelationships|ysaccessstorage|ysaccessxml|ysmodules|ysmodules2|db)|aster\.\.sysdatabases|ysql\.db)\b|s(?:ys(?:\.database_name|aux)\b|chema(?:\W*\(|_name\b)|qlite(_temp)?_master\b)|d(?:atabas|b_nam)e\W*\(|information_schema\b|pg_(catalog|toast)\b|northwind\b|tempdb\b))
942160,Detects blind sqli tests using sleep() or benchmark().,"(?i:(sleep\((\s*?)(\d*?)(\s*?)\)|benchmark\((.*?)\,(.*?)\)))"
942170,Detects SQL benchmark and sleep injection attempts including conditional queries,(?i:(?:(select|;)\s+(?:benchmark|if|sleep)\s*?\(\s*?\(?\s*?\w+))
942190,Detects MSSQL code execution and information gathering attempts,"(?i:(?:\s*?(?:exec|execute).*?(?:\W)xp_cmdshell)|(?:[\""'`]\s*?!\s*?[\""'`\w])|(?:from\W+information_schema\W)|(?:(?:(?:current_)?user|database|schema|connection_id)\s*?\([^\)]*?)|(?:[\""'`];?\s*?(?:select|union|having)\b\s*?[^\s])|(?:\wiif\s*?\()|(?:(?:exec|execute)\s+master\.)|(?:union select @)|(?:union[\w(\s]*?select)|(?:select.*?\w?user\()|(?:into[\s+]+(?:dump|out)file\s*?[\""'`]))"
942230,Detects conditional SQL injection attempts,(?i:(?:[\s()]case\s*?\()|(?:\)\s*?like\s*?\()|(?:having\s*?[^\s]+\s*?[^\w\s])|(?:if\s?\([\d\w]\s*?[=<>~]))
942240,Detects MySQL charset switch and MSSQL DoS attempts,"(?i:(?:alter\s*?\w+.*?(?:character|char)\s+set\s+\w+)|([\""'`];*?\s*?waitfor\s+(?:time|delay)\s+[\""'`])|(?:[\""'`];.*?:\s*?goto))"
942250,"Detects MATCH AGAINST, MERGE and EXECUTE IMMEDIATE injections","(?i:(?:merge.*?using\s*?\()|(execute\s*?immediate\s*?[\""'`])|(?:match\s*?[\w(),+-]+\s*?against\s*?\())"
942270,"Looking for basic sql injection. Common attack string for mysql, oracle and others.",(?i:(?:(union(.*?)select(.*?)from)))
942280,"Detects Postgres pg_sleep injection, waitfor delay attacks and database shutdown attempts","(?i:(?:select\s*?pg_sleep)|(?:waitfor\s*?delay\s?[\""'`]+\s?\d)|(?:;\s*?shutdown\s*?(?:;|--|#|\/\*|{)))"
942320,Detects MySQL and PostgreSQL stored procedure/function injections,(?i:(?:procedure\s+analyse\s*?\()|(?:;\s*?(declare|open)\s+[\w-]+)|(?:create\s+(procedure|function)\s*?\w+\s*?\(\s*?\)\s*?-)|(?:declare[^\w]+[@#]\s*?\w+)|(exec\s*?\(\s*?@))
942350,Detects MySQL UDF injection and other data/structure manipulation attempts,"(?i:(?:create\s+function\s+.+\s+returns)|(?:;\s*?(?:select|create|rename|truncate|load|alter|delete|update|insert|desc)\s*?[\[(]?\w{2,}))"
942360,Detects concatenated basic SQL injection and SQLLFI attempts,"(?i:(?:[\d\W]\s+as\s*?[\""'`\w]+\s*?from)|(?:^[\W\d]+\s*?(?:union|select|create|rename|truncate|load|alter|delete|update|insert|desc)\b)|(?:(?:select|create|rename|truncate|load|alter|delete|update|insert|desc)\s+(?:(?:group_)concat|char|load_file)\s?\(?)|(?:end\s*?\);)|([\""'`]\s+regexp\W)|(?:[\s(]load_file\s*?\())"
942110,SQL Injection Attack: Common Injection Testing Detected,"(^[\""'`;]+|[\""'`]+$)"
942120,SQL Injection Attack: SQL Operator Detected,"(?i:(\!\=|\&\&|\|\||>>|<<|>=|<=|<>|<=>|\bxor\b|\brlike\b|\bregexp\b|\bisnull\b)|(?:not\s+between\s+0\s+and)|(?:is\s+null)|(like\s+null)|(?:(?:^|\W)in[+\s]*\([\s\d\""]+[^()]*\))|(?:\bxor\b|<>|rlike(?:\s+binary)?)|(?:regexp\s+binary))"
942130,SQL Injection Attack: SQL Tautology Detected.,"(?i:([\s'\""`\(\)]*?)([\d\w]++)([\s'\""`\(\)]*?)(?:(?:=|<=>|r?like|sounds\s+like|regexp)([\s'\""`\(\)]*?)\2|(?:!=|<=|>=|<>|<|>|\^|is\s+not|not\s+like|not\s+regexp)([\s'\""`\(\)]*?)(?!\2)([\d\w]+)))"
942180,Detects basic SQL authentication bypass attempts 1/3,"(?i:(?i:\d[\""'`]\s+[\""'`]\s+\d)|(?:^admin\s*?[\""'`]|(\/\*)+[\""'`]+\s?(?:--|#|\/\*|{)?)|(?:[\""'`]\s*?(x?or|div|like|between|and)[\w\s-]+\s*?[+<>=(),-]\s*?[\d\""'`])|(?:[\""'`]\s*?[^\w\s]?=\s*?[\""'`])|(?:[\""'`]\W*?[+=]+\W*?[\""'`])|(?:[\""'`]\s*?[!=|][\d\s!=+-]+.*?[\""'`(].*?$)|(?:[\""'`]\s*?[!=|][\d\s!=]+.*?\d+$)|(?:[\""'`]\s*?like\W+[\w\""'`(])|(?:\sis\s*?0\W)|(?:where\s[\s\w\.,-]+\s=)|(?:[\""'`][<>~]+[\""'`]))"
942260,Detects basic SQL authentication bypass attempts 2/3,"(?:(?:union\s*?(?:all|distinct|[(!@]*?)?\s*?[([]*?\s*?select\s+)|(?:\w+\s+like\s+[""\'`])|(?:like\s*?[""\'`]%)|(?:[""\'`]\s*?like\W*?[""\'`\d])|(?:[""\'`]\s*?(?:n?and|x?x?or|div|like|between|and|not|\|\||&&)\s+[\s\w]+=\s*?\w+\s*?having\s+)|(?:[""\'`]\s*?\*\s*?\w+\W+[""\'`])|(?:[""\'`]\s*?[^?\w\s=.,;)(]+\s*?[(@""\'`]*?\s*?\w+\W+\w)|(?:select\s+?[\[\]()\s\w.,""\'`-]+from\s+)|(?:find_in_set\s*?\())"
942300,"Detects MySQL comments, conditions and ch(a)r injections","(?i:(?:\)\s*?when\s*?\d+\s*?then)|(?:[\""'`]\s*?(?:#|--|{))|(?:\/\*!\s?\d+)|(?:ch(?:a)?r\s*?\(\s*?\d)|(?:(?:(n?and|x?x?or|div|like|between|and|not)\s+|\|\||\&\&)\s*?\w+\())"
942310,Detects chained SQL injection attempts 2/2,"(?i:[\""'`]\s+and\s*?=\W)|(?:\(\s*?select\s*?\w+\s*?\()|(?:\*\/from)|(?:\+\s*?\d+\s*?\+\s*?@)|(?:\w[\""'`]\s*?(?:(?:[-+=|@]+\s+?)+|[-+=|@]+)[\d(])|(?:coalesce\s*?\(|@@\w+\s*?[^\w\s])|(?:\W!+[\""'`]\w)|(?:[\""'`];\s*?(?:if|while|begin))|(?:[\""'`][\s\d]+=\s*?\d)|(?:order\s+by\s+if\w*?\s*?\()|(?:[\s(]+case\d*?\W.+[tw]hen[\s(])"
942330,Detects classic SQL injection probings 1/2,"(?i:[\""'`]\s*?(x?or|div|like|between|and)\s*?[\""'`]?\d)|(?:\\\\x(?:23|27|3d))|(?:^.?[\""'`]$)|(?:(?:^[\""'`\\\\]*?(?:[\d\""'`]+|[^\""'`]+[\""'`]))+\s*?(?:n?and|x?x?or|div|like|between|and|not|\|\||\&\&)\s*?[\w\""'`][+&!@(),.-])|(?:[^\w\s]\w+\s*?[|-]\s*?[\""'`]\s*?\w)|(?:@\w+\s+(and|x?or|div|like|between|and)\s*?[\""'`\d]+)|(?:@[\w-]+\s(and|x?or|div|like|between|and)\s*?[^\w\s])|(?:[^\w\s:]\s*?\d\W+[^\w\s]\s*?[\""'`].)|(?:\Winformation_schema|table_name\W)"
942340,Detects basic SQL authentication bypass attempts 3/3,"(?i:in\s*?\(+\s*?select)|(?:(?:n?and|x?x?or|div|like|between|and|not|\|\||\&\&)\s+[\s\w+]+(?:regexp\s*?\(|sounds\s+like\s*?[\""'`]|[=\d]+x))|([\""'`]\s*?\d\s*?(?:--|#))|(?:[\""'`][\%&<>^=]+\d\s*?(=|x?or|div|like|between|and))|(?:[\""'`]\W+[\w+-]+\s*?=\s*?\d\W+[\""'`])|(?:[\""'`]\s*?is\s*?\d.+[\""'`]?\w)|(?:[\""'`]\|?[\w-]{3,}[^\w\s.,]+[\""'`])|(?:[\""'`]\s*?is\s*?[\d.]+\s*?\W.*?[\""'`])"
942370,Detects classic SQL injection probings 2/2,"(?i:[\""'`]\s*?\*.+(?:x?or|div|like|between|and|id)\W*?[\""'`]\d)|(?:\^[\""'`])|(?:[\""'`][\s\d]*?[^\w\s]+\W*?\d\W*?.*?[\""'`\d])|(?:[\""'`]\s*?[^\w\s?]+\s*?[^\w\s]+\s*?[\""'`])|(?:[\""'`]\s*?[^\w\s]+\s*?[\W\d].*?(?:#|--))|(?:[\""'`].*?\*\s*?\d)|(?:[\""'`]\s*?(x?or|div|like|between|and)\s[^\d]+[\w-]+.*?\d)|(?:[()\*<>%+-][\w-]+[^\w\s]+[\""'`][^,])"
942380,SQL Injection Attack,"\b(?i:having)\b\s+(\d{1,10}|'[^=]{1,10}')\s*?[=<>]|(?i:\bexecute(\s{1,5}[\w\.$]{1,5}\s{0,3})?\()|\bhaving\b ?(?:\d{1,10}|[\'\""][^=]{1,10}[\'\""]) ?[=<>]+|(?i:\bcreate\s+?table.{0,20}?\()|(?i:\blike\W*?char\W*?\()|(?i:(?:(select(.*?)case|from(.*?)limit|order\sby)))|exists\s(\sselect|select\Sif(null)?\s\(|select\Stop|select\Sconcat|system\s\(|\b(?i:having)\b\s+(\d{1,10})|'[^=]{1,10}')"
942390,SQL Injection Attack,"(?i:\bor\b ?(?:\d{1,10}|[\'\""][^=]{1,10}[\'\""]) ?[=<>]+|(?i:'\s+x?or\s+.{1,20}[+\-!<>=])|\b(?i:x?or)\b\s+(\d{1,10}|'[^=]{1,10}')|\b(?i:x?or)\b\s+(\d{1,10}|'[^=]{1,10}')\s*?[=<>])"
942400,SQL Injection Attack,"(?i)\b(?i:and)\b\s+(\d{1,10}|'[^=]{1,10}')\s*?[=]|\b(?i:and)\b\s+(\d{1,10}|'[^=]{1,10}')\s*?[<>]|\band\b ?(?:\d{1,10}|[\'\""][^=]{1,10}[\'\""]) ?[=<>]+|\b(?i:and)\b\s+(\d{1,10}|'[^=]{1,10}')"
942381,SQL Injection Attack,"\b(?i:having)\b\s+(\d{1,10}|'[^=]{1,10}')\s*?[=<>]|(?i:\bexecute(\s{1,5}[\w\.$]{1,5}\s{0,3})?\()"
942440,SQL Comment Sequence Detected.,(/\*!?|\*/|[';]--|--[\s\r\n\v\f]|(?:--[^-]*?-)|([^\-&])#.*?[\s\r\n\v\f]|;?\\x00)
942450,SQL Hex Encoding Identified,"(?i:(?:\A|[^\d])0x[a-f\d]{3,}[a-f\d]*)+"
942251,Detects HAVING injections,(?i)\W+\d*?\s*?having\s*?[^\s\-]
